lamentable,2 fois
localité,
luisant,
magasin,2 fois
malgré,
manche,
,
série 4,
rétablir,
sabre,
sacoche,
saint,
samedi,
sauvage,2 fois
spectateur,
tableau,2 fois
tablier,
tranche,
valise,
voisinage,
aussi,
quatre,
action,
adroit,
avant,2 fois
avertir,
avoir,
bal,
banc,
banque,
bassin,
bataille,2 fois
bazar,2 fois
boulanger,
boulangerie,
cadavre,2 fois
chacun,
chapelle,
chocolat,
convenable,
,
,
série 8,
racine,
raison,
rarement,
repas,
sacré,
saison,
salle,
salon,
sapin,
satin,
suave,
tabac,2 fois
taille,
tante,
tombeau,
tram,
tramway,2 fois
traverser,
villa,
wagon,
aboutir,
admirable,2 fois
aimer,
aliment,
allée,
ami,
amusement,
avaler,2 fois
avenue,
avouer,
bas,
basse,
,
,
,
,
série 12,
chanter,
charmer,
chaume,
consolation,
conversation,
courageusement,
cristal,
danger,
d'après,
dedans,
démarche,
déplaire,
drap,
enfance,
équipage,
escalader,2 fois
fabriquer,
fatiguer,
fourneau,
géographie,
grain,
gravement,
gravure,
habitation,2 fois
haie,
hauteur,
ingratitude,
laitier,
largement,
lendemain,
louange,
manque,
,
,
,
,
série 16,
état,
facile,
faible,
faucher,
finalement,
friandise,
galerie,
garder,
gazon,
généralement,
grange,
graver,
gravir,
hache,
indication,
jambon,
jaunir,
maigre,
maintenir,
malheureux,
mare,
maternel,
mélanger,
ordinaire,
paix,
papillon,
parapluie,2 fois
partager,2 fois
particulièrement,
planter,
pourtant,
préparatif,2 fois
,
,
,
,
série 20,
manteau,2 fois
manuel,
marin,
ménagère,
mendiant,
montant,
par,
parure,
passage,2 fois
préparer,
principalement,
privation,
propriétaire,
quart,
raconter,
ralentir,
raser,
rouleau,
royal,
ruisseau,
salaire,2 fois
satisfaire,2 fois
saule,
savourer,
scolaire,
souriant,
tarder,
température,
traitement,
tranquille,
transport,
végétal,
