Lettre S  - Niveau 1 - 2 séries (1 série de 28 mots et 1 série de 27 mots) - 55 mots

série 1 
maison
sucre
classe
soir
mars
poste
soleil
sur
triste
église
moustache
sage
solide
soupe
costume
os
plus
remise
sable
salade
suite
tasse
artiste
astre
bois
chasse
chasseur
chemise

série 2
dans
gros
juste
musique
personne
reste
sec
semaine
sol
sortie
survenir
visage
visite
visiteur
chanson
liste
piste
prison
rose
sac
salutation
singe
sorte
statue
tous
usage
usine
